,Date,daily_generacion,daily_consumo_combustible,daily_demanda,daily_aportes_energia,daily_volumen_util_energia,daily_disponibilidad_real,daily_precio_bolsa,daily_emision_CO2_eq
150,2014-02-28,182.18972281,454.03778000000005,179.47801284,191.383,8098.8094611999995,286.06152000000003,156.98999999999998,32195.899999999998
151,2014-03-01,169.7678295,432.88259,166.77353909,147.3305,8113.2334141,291.64632,149.32083333333333,30720.229999999996
152,2014-03-02,150.05263697000004,386.00544999999994,147.63882356,117.1196,8111.766143899999,296.60568,144.75416666666666,27546.000000000004
153,2014-03-03,172.65426981,437.93364,171.37183155000002,148.4953,8135.0547945,289.92024,166.37333333333333,31361.379999999997
154,2014-03-04,176.34911206,441.42606,175.35849455000002,144.4551,8149.9108,283.25304,163.3191666666667,31435.23
155,2014-03-05,181.69524031,442.2114399999999,179.19810905,123.2164,8136.4103442,280.362,159.7275,31232.979999999992
156,2014-03-06,182.62268975,436.3977999999999,179.44930825,114.7898,8110.441276,279.36240000000004,154.96541666666664,31048.779999999995
157,2014-03-07,183.56732689999998,430.11981000000003,180.56905676,127.3914,8091.8551032,291.462,145.30916666666667,30962.739999999998
158,2014-03-08,173.2013363,337.86263,169.88232513999998,134.1839,8080.8974758,292.6908,142.84916666666666,24887.559999999998
159,2014-03-09,149.92088452,365.73383,148.1750144,127.7733,8090.603590199999,294.2124,134.89333333333335,26415.78
160,2014-03-10,174.93752368,357.23268,174.17810365,110.6114,8059.672084899999,292.25280000000004,135.60541666666668,24375.58
161,2014-03-11,179.64191067999997,387.5368899999999,178.21600468,106.4542,8019.6198196000005,280.70664,161.94708333333332,27715.26000000001
162,2014-03-12,178.19470591,383.46996000000007,177.26914132,126.3643,8000.1338675,281.2008000000001,152.5575,28500.28
163,2014-03-13,180.39417996,431.6277,177.10539696,117.1361,7978.9876243,283.44840000000005,144.47291666666666,31056.090000000004
164,2014-03-14,180.76067929,399.62799,177.68025663999998,114.5841,7946.9825898,285.10176,142.40333333333334,29505.289999999997
165,2014-03-15,167.58368614,391.18459,166.4536804,134.8418,7959.9131347,288.55896,148.92583333333334,27596.940000000002
166,2014-03-16,149.23742922,294.5685500000001,148.92222777,123.6954,7962.658474600001,286.05480000000006,128.24875,19906.229999999996
167,2014-03-17,179.08503553,308.28138,176.55726403,105.9854,7915.6473665,288.38088,147.76541666666665,21857.920000000002
168,2014-03-18,182.29956994999998,358.00864,179.40577728,116.9993,7881.1532481,288.14496,138.95,25205.049999999992
169,2014-03-19,183.21569796,386.18929,180.19984805,105.8067,7833.469625899999,152.96952,141.33916666666667,26762.999999999996
170,2014-03-20,185.62587065,370.05879000000004,181.96250574,87.4171,7778.445095,287.796,135.29208333333335,25496.87
